Theta	Phi	Total-adj
3	3	-0.11
4	3	-2.57
5	3	-7.45
6	3	-17.38
7	3	1.90
8	3	-12.24
9	3	-2.54
10	3	-8.79
11	3	-12.18
12	3	-15.45
13	3	-8.02
14	3	-3.57
15	3	-3.81
16	3	-1.38
17	3	0.58
18	3	-0.48
19	3	-0.72
20	3	-0.26
21	3	-4.67
22	3	-7.28
23	3	-4.53
24	3	-2.22
25	3	-27.93
26	3	-6.96
27	3	-7.09
28	3	-4.98
29	3	-8.81
30	3	-9.19
31	3	-6.02
32	3	-10.19
33	3	-5.65
34	3	-4.96
35	3	-2.68
36	3	-0.93
37	3	-0.22
38	3	1.39
39	3	3.71
40	3	-2.35
41	3	-1.13
42	3	-4.14
43	3	-3.47
44	3	-1.56
45	3	-3.07
46	3	-0.64
47	3	1.84
48	3	-2.59
49	3	-1.03
50	3	-0.94
51	3	-1.07
52	3	-1.61
53	3	-1.12
54	3	-1.25
55	3	-0.85
56	3	-1.13
57	3	1.77
58	3	3.08
59	3	2.65
60	3	1.94
61	3	0.38
62	3	1.98
63	3	-2.13
64	3	-0.98
65	3	-0.53
66	3	-2.08
67	3	-1.02
68	3	-0.90
69	3	-0.86
70	3	-0.35
71	3	-1.42
72	3	-1.34
73	3	0.18
74	3	-0.60
75	3	0.57
76	3	-1.76
77	3	-2.93
78	3	-6.15
79	3	2.05
80	3	-13.67
81	3	-1.32
82	3	-5.44
83	3	-2.75
84	3	-1.95
85	3	1.82
86	3	0.67
87	3	-0.70
88	3	-5.06
89	3	-5.28
90	3	-3.58
91	3	-14.66
92	3	-16.31
93	3	-10.71
94	3	-10.31
95	3	-32.45
96	3	-17.07
97	3	-8.63
98	3	-8.87
99	3	-23.12
100	3	-10.58
101	3	-9.23
102	3	-11.19
103	3	-14.05
104	3	-16.20
105	3	-7.64
106	3	-5.87
107	3	-8.94
108	3	-9.51
109	3	-7.43
110	3	-1.88
111	3	-3.40
112	3	-1.26
113	3	-3.02
114	3	-0.21
115	3	-0.36
116	3	-3.53
117	3	-1.92
118	3	-0.25
119	3	0.22
120	3	-0.65
121	3	-0.68
122	3	-1.64
123	3	-1.93
124	3	-1.64
125	3	-1.15
126	3	0.37
127	3	1.84
128	3	2.47
129	3	3.27
130	3	0.85
131	3	0.28
132	3	-0.29
133	3	0.12
134	3	-0.19
135	3	-2.27
136	3	-2.74
137	3	-7.73
138	3	-8.00
139	3	0.99
140	3	-0.30
141	3	-2.12
142	3	-0.70
143	3	-1.63
144	3	-1.11
145	3	-0.10
146	3	-1.55
147	3	3.75
148	3	4.19
149	3	2.97
150	3	3.65
151	3	1.45
152	3	1.48
153	3	-0.75
154	3	-3.73
155	3	-1.26
156	3	2.25
157	3	3.65
158	3	-3.88
159	3	-3.13
160	3	-6.14
161	3	-6.85
162	3	-2.39
163	3	0.58
164	3	-9.53
165	3	-4.45
166	3	-4.61
167	3	-0.68
168	3	-3.53
169	3	-9.83
170	3	0.13
171	3	-4.85
172	3	-8.83
173	3	-9.22
174	3	-4.99
175	3	-10.35
176	3	-8.02
177	3	-0.13
178	3	-6.83
179	3	2.65
180	3	2.09
0	4	-1.90
1	4	-2.37
2	4	-2.76
3	4	-0.69
4	4	-2.71
5	4	-7.80
6	4	-12.20
7	4	2.32
8	4	-11.71
9	4	-3.27
10	4	-9.11
11	4	-14.71
12	4	-8.15
13	4	-2.69
14	4	-1.41
15	4	-1.71
16	4	2.62
17	4	0.93
18	4	-1.06
19	4	4.57
20	4	-2.26
21	4	-1.51
22	4	-1.48
23	4	-0.20
24	4	-12.07
25	4	-5.43
26	4	-6.68
27	4	-7.52
28	4	-12.23
29	4	-12.61
30	4	-7.52
31	4	-7.88
32	4	-8.23
33	4	-5.61
34	4	-4.56
35	4	-2.08
36	4	-0.42
37	4	0.81
38	4	2.23
39	4	-0.28
40	4	4.25
41	4	-0.60
42	4	0.51
43	4	2.41
44	4	-0.63
45	4	-2.35
46	4	-1.75
47	4	-1.12
48	4	-1.62
49	4	-1.18
50	4	-2.73
51	4	-1.40
52	4	-1.12
53	4	-1.97
54	4	-1.50
55	4	-1.86
56	4	0.69
57	4	0.34
58	4	-1.67
59	4	0.19
60	4	3.10
61	4	-1.08
62	4	-1.24
63	4	-1.37
64	4	-0.21
65	4	-1.05
66	4	0.22
67	4	-0.25
68	4	-0.65
69	4	-1.22
70	4	-2.17
71	4	-2.22
72	4	-3.46
73	4	-1.11
74	4	-6.93
75	4	-4.82
76	4	0.30
77	4	1.15
78	4	0.56
79	4	-0.37
80	4	-1.02
81	4	1.01
82	4	-0.71
83	4	-6.79
84	4	-2.36
85	4	-2.68
86	4	-2.26
87	4	-0.85
88	4	-3.51
89	4	-4.64
90	4	-5.05
91	4	-11.12
92	4	-11.45
93	4	-12.48
94	4	-8.73
95	4	-24.83
96	4	-15.74
97	4	-15.57
98	4	-11.84
99	4	-13.36
100	4	-12.76
101	4	-14.43
102	4	-21.32
103	4	-4.97
104	4	-15.49
105	4	-13.58
106	4	-4.95
107	4	-3.45
108	4	-6.08
109	4	-8.80
110	4	-8.11
111	4	-8.18
112	4	-1.49
113	4	-4.28
114	4	-1.41
115	4	3.49
116	4	0.43
117	4	-1.01
118	4	-0.97
119	4	-0.80
120	4	-1.84
121	4	1.22
122	4	-0.73
123	4	-0.44
124	4	-0.95
125	4	-0.64
126	4	-1.06
127	4	0.13
128	4	4.04
129	4	5.40
130	4	1.76
131	4	0.74
132	4	-2.32
133	4	3.19
134	4	6.40
135	4	3.64
136	4	2.85
137	4	-1.05
138	4	-0.79
139	4	-0.52
140	4	-1.99
141	4	-1.64
142	4	-0.60
143	4	-3.27
144	4	1.16
145	4	-0.68
146	4	0.52
147	4	1.84
148	4	3.08
149	4	2.78
150	4	2.19
151	4	3.77
152	4	4.34
153	4	0.51
154	4	0.64
155	4	1.51
156	4	-0.33
157	4	4.49
158	4	-4.93
159	4	-5.36
160	4	-12.75
161	4	-9.60
162	4	1.04
163	4	-4.78
164	4	-6.45
165	4	-3.21
166	4	-9.89
167	4	-6.24
168	4	-2.32
169	4	-9.31
170	4	-1.35
171	4	-7.20
172	4	-6.19
173	4	-6.51
174	4	-3.73
175	4	-7.64
176	4	-10.04
177	4	-5.82
178	4	-7.17
179	4	2.63
180	4	2.09
0	5	-1.90
1	5	-2.31
2	5	-2.59
3	5	-1.14
4	5	-3.21
5	5	-7.37
6	5	-12.38
7	5	2.48
8	5	-10.73
9	5	-8.06
10	5	-8.90
11	5	-13.85
12	5	-10.83
13	5	-8.01
14	5	-8.71
15	5	-5.29
16	5	1.73
17	5	2.94
18	5	4.97
19	5	2.89
20	5	-3.68
21	5	-3.45
22	5	-10.98
23	5	-3.46
24	5	-5.05
25	5	-4.40
26	5	-5.96
27	5	-6.83
28	5	-7.25
29	5	-5.65
30	5	-3.93
31	5	-6.57
32	5	-6.60
33	5	-0.11
34	5	-3.33
35	5	-2.25
36	5	-1.69
37	5	0.04
38	5	3.95
39	5	2.52
40	5	1.20
41	5	1.19
42	5	0.10
43	5	1.59
44	5	0.09
45	5	-0.15
46	5	-0.27
47	5	0.06
48	5	0.11
49	5	0.61
50	5	-0.68
51	5	-1.75
52	5	-1.42
53	5	-1.51
54	5	-1.63
55	5	-1.68
56	5	-1.13
57	5	-0.95
58	5	0.02
59	5	-1.46
60	5	-1.57
61	5	-0.01
62	5	0.41
63	5	-0.31
64	5	0.16
65	5	-0.67
66	5	-1.71
67	5	-0.88
68	5	-2.30
69	5	-2.27
70	5	-1.78
71	5	-0.40
72	5	-2.04
73	5	0.92
74	5	-2.65
75	5	-1.46
76	5	-1.18
77	5	-3.48
78	5	2.04
79	5	0.87
80	5	-2.28
81	5	-1.31
82	5	-1.23
83	5	-0.47
84	5	-1.07
85	5	-0.69
86	5	-0.72
87	5	-5.48
88	5	-6.90
89	5	-9.45
90	5	-12.41
91	5	-6.77
92	5	-33.16
93	5	-17.05
94	5	-10.43
95	5	-10.15
96	5	-10.86
97	5	-10.98
98	5	-16.60
99	5	-13.70
100	5	-13.68
101	5	-13.47
102	5	-10.01
103	5	-6.01
104	5	-7.28
105	5	1.49
106	5	-0.37
107	5	-5.95
108	5	-1.48
109	5	-7.79
110	5	-7.65
111	5	-1.89
112	5	-6.76
113	5	-1.44
114	5	2.77
115	5	3.51
116	5	2.67
117	5	1.82
118	5	-1.94
119	5	1.23
120	5	0.85
121	5	-1.29
122	5	-0.57
123	5	-0.36
124	5	0.19
125	5	0.59
126	5	2.56
127	5	-5.75
128	5	0.80
129	5	-1.30
130	5	0.71
